ID	SL	TL	BC_SL	BC_TL	temp	origin	F1_diet	sex	weight	family	sample_type	Comments
AS02980	4.172	4.813	1.07414E-09	6.99596E-10	cold	hs	cl	f	0.78	23	cross	
AS02981	4.405	4.952	1.26353E-09	8.89369E-10	cold	hs	bw	m	1.08	33_34_36	cross	
AS02982	4.576	5.123	1.12711E-09	8.0325E-10	cold	hs	bw	f	1.08	35	cross	
AS02983	4.636	5.244	1.43518E-09	9.91626E-10	cold	hs	bw	m	1.43	23	cross	
AS02984	4.317	4.884	1.21809E-09	8.412E-10	cold	hs	bw	f	0.98	23	cross	
AS02985	4.511	5.163	1.11117E-09	7.41129E-10	cold	cs	cl	m	1.02	4	cross	
AS02986	4.330	4.915	9.3616E-10	6.40093E-10	cold	cs	cl	f	0.76	4	cross	
AS02987	4.503	5.117	1.08425E-09	7.38906E-10	cold	cs	cl	m	0.99	14	cross	
AS02988	4.072	4.636	8.59023E-10	5.821E-10	cold	cs	cl	f	0.58	14	cross	
AS02989	4.474	5.066	1.1278E-09	7.7683E-10	cold	hs	cl	m	1.01	35	cross	
AS02990	4.615	5.235	9.25819E-10	6.34295E-10	cold	hs	cl	f	0.91	35	cross	
AS02991	4.589	5.204	8.48515E-10	5.81838E-10	cold	hs	cl	f	0.82	35	cross	
AS02992	4.355	4.996	1.42862E-09	9.46269E-10	cold	hs	bw	m	1.18	23	cross	
AS02993	4.605	5.267	1.14691E-09	7.66528E-10	cold	hs	bw	f	1.12	23	cross	
AS02994	3.879	4.434	1.21646E-09	8.14463E-10	cold	hs	bw	f	0.71	23	cross	
AS02995	4.804	5.412	1.25374E-09	8.76883E-10	cold	hs	bw	m	1.39	21	cross	
AS02996	4.400	4.963	9.9784E-10	6.95322E-10	cold	hs	bw	f	0.85	21	cross	
AS02997	3.923	4.480	9.10978E-10	6.11686E-10	cold	hs	bw	f	0.55	21	cross	
AS02998	4.429	5.074	1.2431E-09	8.26747E-10	cold	cs	cl	m	1.08	13	cross	
AS02999	4.264	4.898	1.10929E-09	7.31884E-10	cold	cs	cl	m	0.86	13	cross	
AS03000	4.327	4.953	1.01217E-09	6.74853E-10	cold	cs	cl	f	0.82	13	cross	
AS03001	4.170	4.764	1.10327E-09	7.39903E-10	cold	cs	cl	f	0.80	13	cross	
AS03002	4.459	5.068	1.16178E-09	7.91275E-10	cold	cs	cl	m	1.03	3	cross	
AS03003	4.842	5.477	9.68988E-10	6.69521E-10	cold	cs	cl	f	1.10	3	cross	
AS03004	4.124	4.760	1.32595E-09	8.62307E-10	cold	hs	cl	m	0.93	23	cross	
